Date,Close
1/2/2014 16:00:00,49.65
1/3/2014 16:00:00,49.24
1/6/2014 16:00:00,48.17
1/7/2014 16:00:00,44.14
1/8/2014 16:00:00,45.35
1/9/2014 16:00:00,44.97
1/10/2014 16:00:00,45.52
1/13/2014 16:00:00,45.32
1/14/2014 16:00:00,36.31
1/15/2014 16:00:00,36.97
1/16/2014 16:00:00,37.75
1/17/2014 16:00:00,37.65
1/21/2014 16:00:00,38.21
1/22/2014 16:00:00,39.25
1/23/2014 16:00:00,38.25
1/24/2014 16:00:00,36.52
1/27/2014 16:00:00,37.32
1/28/2014 16:00:00,36.05
1/29/2014 16:00:00,35.07
1/30/2014 16:00:00,35.31
1/31/2014 16:00:00,35.07
2/3/2014 16:00:00,33.83
2/4/2014 16:00:00,33.95
2/5/2014 16:00:00,34.76
2/6/2014 16:00:00,35.35
2/7/2014 16:00:00,35.5
2/10/2014 16:00:00,36.42
2/11/2014 16:00:00,35.75
2/12/2014 16:00:00,36.51
2/13/2014 16:00:00,35.86
2/14/2014 16:00:00,35.61
2/18/2014 16:00:00,36.14
2/19/2014 16:00:00,35.6
2/20/2014 16:00:00,35.64
2/21/2014 16:00:00,35.56
2/24/2014 16:00:00,36.05
2/25/2014 16:00:00,38.47
2/26/2014 16:00:00,38.07
2/27/2014 16:00:00,37.25
2/28/2014 16:00:00,37.31
3/3/2014 16:00:00,37.19
3/4/2014 16:00:00,37.35
3/5/2014 16:00:00,38.75
3/6/2014 16:00:00,38.69
3/7/2014 16:00:00,38.52
3/10/2014 16:00:00,38.51
3/11/2014 16:00:00,38.49
3/12/2014 16:00:00,38.5
3/13/2014 16:00:00,37.12
3/14/2014 16:00:00,38.98
3/17/2014 16:00:00,39.75
3/18/2014 16:00:00,38.39
3/19/2014 16:00:00,37.61
3/20/2014 16:00:00,38.44
3/21/2014 16:00:00,37.82
3/24/2014 16:00:00,38.11
3/25/2014 16:00:00,37.79
3/26/2014 16:00:00,38.9
3/27/2014 16:00:00,37.33
3/28/2014 16:00:00,40.62
3/31/2014 16:00:00,41.1
4/1/2014 16:00:00,42.58
4/2/2014 16:00:00,43.37
4/3/2014 16:00:00,44.39
4/4/2014 16:00:00,42.84
4/7/2014 16:00:00,43.52
4/8/2014 16:00:00,43.74
4/9/2014 16:00:00,43.18
4/10/2014 16:00:00,41.21
4/11/2014 16:00:00,40.52
4/14/2014 16:00:00,41.17
4/15/2014 16:00:00,41.45
4/16/2014 16:00:00,40.74
4/17/2014 16:00:00,41.47
4/21/2014 16:00:00,40.97
4/22/2014 16:00:00,42.27
4/23/2014 16:00:00,39.91
4/24/2014 16:00:00,40.21
4/25/2014 16:00:00,39.37
4/28/2014 16:00:00,40.34
4/29/2014 16:00:00,40.35
4/30/2014 16:00:00,39.68
5/1/2014 16:00:00,39.26
5/2/2014 16:00:00,39.92
5/5/2014 16:00:00,38.15
5/6/2014 16:00:00,37.66
5/7/2014 16:00:00,35.84
5/8/2014 16:00:00,36.02
5/9/2014 16:00:00,36.56
5/12/2014 16:00:00,36.82
5/13/2014 16:00:00,37.85
5/14/2014 16:00:00,36.46
5/15/2014 16:00:00,35.87
5/16/2014 16:00:00,36.22
5/19/2014 16:00:00,36.98
5/20/2014 16:00:00,36.43
5/21/2014 16:00:00,36.94
5/22/2014 16:00:00,36.88
5/23/2014 16:00:00,38.43
5/27/2014 16:00:00,37.29
5/28/2014 16:00:00,38.21
5/29/2014 16:00:00,38.17
5/30/2014 16:00:00,37.85
6/2/2014 16:00:00,36.56
6/3/2014 16:00:00,36.57
6/4/2014 16:00:00,37.26
6/5/2014 16:00:00,36.69
6/6/2014 16:00:00,37.28
6/9/2014 16:00:00,36.52
6/10/2014 16:00:00,37.29
6/11/2014 16:00:00,37.74
6/12/2014 16:00:00,36.3
6/13/2014 16:00:00,36.99
6/16/2014 16:00:00,37.72
6/17/2014 16:00:00,40.29
6/18/2014 16:00:00,40
6/19/2014 16:00:00,39.96
6/20/2014 16:00:00,40.11
6/23/2014 16:00:00,40.4
6/24/2014 16:00:00,40.24
6/25/2014 16:00:00,40.21
6/26/2014 16:00:00,40.57
6/27/2014 16:00:00,40.35
6/30/2014 16:00:00,40.47
7/1/2014 16:00:00,40.5
7/2/2014 16:00:00,40.87
7/3/2014 16:00:00,41.76
7/7/2014 16:00:00,41.59
7/8/2014 16:00:00,41.64
7/9/2014 16:00:00,41.79
7/10/2014 16:00:00,41.78
7/11/2014 16:00:00,41.24
