Date,Close
1/2/2014 16:00:00,14.16
1/3/2014 16:00:00,14.06
1/6/2014 16:00:00,13.84
1/7/2014 16:00:00,13.8
1/8/2014 16:00:00,13.42
1/9/2014 16:00:00,13.05
1/10/2014 16:00:00,13.08
1/13/2014 16:00:00,12.85
1/14/2014 16:00:00,12.98
1/15/2014 16:00:00,12.74
1/16/2014 16:00:00,12.6
1/17/2014 16:00:00,12.56
1/21/2014 16:00:00,12.51
1/22/2014 16:00:00,12.49
1/23/2014 16:00:00,12.26
1/24/2014 16:00:00,11.67
1/27/2014 16:00:00,11.58
1/28/2014 16:00:00,11.29
1/29/2014 16:00:00,11.09
1/30/2014 16:00:00,11.35
1/31/2014 16:00:00,11.73
2/3/2014 16:00:00,11.51
2/4/2014 16:00:00,11.4
2/5/2014 16:00:00,11.3
2/6/2014 16:00:00,12.01
2/7/2014 16:00:00,12.2
2/10/2014 16:00:00,11.93
2/11/2014 16:00:00,11.96
2/12/2014 16:00:00,11.65
2/13/2014 16:00:00,11.84
2/14/2014 16:00:00,11.5
2/18/2014 16:00:00,11.61
2/19/2014 16:00:00,11.16
2/20/2014 16:00:00,11.27
2/21/2014 16:00:00,11.61
2/24/2014 16:00:00,12.1
2/25/2014 16:00:00,12.15
2/26/2014 16:00:00,12.68
2/27/2014 16:00:00,13.25
2/28/2014 16:00:00,12.85
3/3/2014 16:00:00,12.77
3/4/2014 16:00:00,12.87
3/5/2014 16:00:00,12.89
3/6/2014 16:00:00,13.11
3/7/2014 16:00:00,12.97
3/10/2014 16:00:00,12.88
3/11/2014 16:00:00,12.8
3/12/2014 16:00:00,12.97
3/13/2014 16:00:00,12.93
3/14/2014 16:00:00,12.74
3/17/2014 16:00:00,12.31
3/18/2014 16:00:00,12.47
3/19/2014 16:00:00,12.4
3/20/2014 16:00:00,12.27
3/21/2014 16:00:00,11.99
3/24/2014 16:00:00,11.7
3/25/2014 16:00:00,11.74
3/26/2014 16:00:00,11.67
3/27/2014 16:00:00,11.71
3/28/2014 16:00:00,11.95
3/31/2014 16:00:00,12.32
4/1/2014 16:00:00,12.18
4/2/2014 16:00:00,12.32
4/3/2014 16:00:00,12.4
4/4/2014 16:00:00,12.35
4/7/2014 16:00:00,12.31
4/8/2014 16:00:00,12.14
4/9/2014 16:00:00,12.78
4/10/2014 16:00:00,12.74
4/11/2014 16:00:00,12.62
4/14/2014 16:00:00,12.45
4/15/2014 16:00:00,12.53
4/16/2014 16:00:00,12.65
4/17/2014 16:00:00,12.7
4/21/2014 16:00:00,13.08
4/22/2014 16:00:00,13.39
4/23/2014 16:00:00,12.93
4/24/2014 16:00:00,11.68
4/25/2014 16:00:00,11.3
4/28/2014 16:00:00,11.02
4/29/2014 16:00:00,11.15
4/30/2014 16:00:00,11.16
5/1/2014 16:00:00,11.13
5/2/2014 16:00:00,11.52
5/5/2014 16:00:00,11.06
5/6/2014 16:00:00,10.8
5/7/2014 16:00:00,10.8
5/8/2014 16:00:00,11.15
5/9/2014 16:00:00,11.22
5/12/2014 16:00:00,11.29
5/13/2014 16:00:00,11.32
5/14/2014 16:00:00,11.21
5/15/2014 16:00:00,11.29
5/16/2014 16:00:00,11.25
5/19/2014 16:00:00,11.28
5/20/2014 16:00:00,10.95
5/21/2014 16:00:00,11.14
